text,aspect,sentiment,score
grabb bike hemat bulan juni jarak km rumah st cikampek rp sekarang bulan juli jadi rp ko ubah ko ngga konsisten jadi kecewa,lainnya,negatif,1
alhamdulillah grab makin baik,lainnya,positif,4
mantab,lainnya,positif,5
kok diskon lebih diskon hehehe x,lainnya,positif,5
tx u antar cepat,lainnya,positif,5
alhamdulillah sangat bantu,lainnya,positif,5
sangan bantu,lainnya,positif,5
dtg cepat otw cepat,lainnya,positif,5
sangat mudah guna sangat bantu sekali,lainnya,positif,5
bayar mahal mahal dapat kendara listrik sempit buat duduk pegal pegal,lainnya,negatif,1
nyaman ramah puas sekali,keamanan,positif,5
sya sangat puas,lainnya,positif,5
oke,lainnya,netral,3
suka pencet sendiri aplikasi padahal tumpang blom naik udah ubah turun,aplikasi,negatif,1
mau buka grab food susah mau sen grab ride ngelag padahal buka aplikasi lancar aja paling parah dulu selalu hemat enak buat buat pribadi tidak memliki buah motor andal ojek online grab kali benar kecewa aplikasi tiba lot lelet banyak error bug paling parah promo selalu jadi hilang jadi kadang meski dekat benar buat keluar lbih,aplikasi,negatif,1
driver baik,driver,positif,5
apa login aja ribet mau buru aja susah jadi,lainnya,negatif,1
tidak suka sama sekali driver sama aplikasi,aplikasi,negatif,1
top,lainnya,positif,5
metode bayar langgan ribet,lainnya,negatif,2
bercandaa,lainnya,positif,5
aplikasi lelet lama order gabung,aplikasi,negatif,1
bike hemat lumayan bagus cuma ribu hari,lainnya,positif,5
sangat baik,lainnya,positif,5
cepat ramah sopan,lainnya,positif,5
grab sangat bantu jalan masyarakat,lainnya,positif,5
kurir busuk gw mesan paket instan lewat shopee tidak pick up kurir ngambil eh gjd ngambil eh gjd niat kerja tidak sih gw nunggu jam siang sampe jam tidak dipick up nih gw kasih plat nomor mau tidak,lainnya,negatif,1
nga sih kalau food batesin kadang orang nganter titik kalau dapet akhir udah keburu nga enak makan biar dapet anget malah dapet adem hampir jam kadang baru sampe haduh haduh prioritas kadang sama,lainnya,negatif,1
ko dominos pizza papi uno,lainnya,positif,5
aplikasi jelek sepanjnag masa,aplikasi,negatif,1
grab andal transportku,lainnya,positif,5
suka banget naik grab nyaman sehat terus buat bg supir,keamanan,positif,5
apk jelek busuk mahal tergajelas driver tidak sopan semua buruk,aplikasi,negatif,1
grab sekarang kejam kasihan sama driver sejak potong bukan tambah hasil malah rangin dapat sungguh biadab,driver,negatif,1
jujur kecewa banget kali dapet driver jutek banget bahkan sampe blg harus tidak ambil jauh gausa jadi driver lah pak kalau gitu naik grab bayar tidak gratis tidak ramah samsek layan hampir semua driver mobil respon ketus padahal sbg langgan usaha ngehormatin tlg lah baik layan,layanan,positif,1
banyak bug,lainnya,negatif,1
tiba banget tunggak nyampe rb grab car liat riwayat tidak jalan aneh banget mau dipake app bayar dulu tunggak dong dibenerin,aplikasi,negatif,1
bagus aman,keamanan,positif,5
sekarang bayar grab jadi mahal kaya kemarin sekarang harga naik,harga,negatif,2
mudah tranportasi d butuh,lainnya,positif,5
driver sangat ramah,driver,positif,5
ah ngeselin banget update tuh beri tanda pilih sekarang kek mau mesen karna udah buru mesti update dulu,lainnya,netral,3
suka banget sama aplikasi,aplikasi,positif,5
sial update aja lama,lainnya,negatif,2
user friendly,lainnya,positif,5
sering banget sh error buka grabnya,lainnya,negatif,2
hantar sngat sopan sesuai jadwal,lainnya,positif,5
sorry yeeee,lainnya,negatif,1
jalan senang,lainnya,positif,5
good job,lainnya,positif,5
kalau usul order makan wajib lunas bayar makan lewat ovo driver tidak rugi makan mahal kasihan kalau tanggung order makan cancel mohon perhati,driver,negatif,5
bantu,lainnya,positif,5
grab bagus,lainnya,positif,5
mudah cepat,lainnya,positif,2
harus fitur batal pesan detik pertama kesumen batal pesan cepat mungkin salah waktu mesan rugi pihak ojok jual sangat repot,lainnya,positif,1
awal voucher promo ongkir ribu mau pilih menu makan tiba hilang voucher padahal baru selang beberapa menit lihat kalau masa laku lama kalau mau ngasih bener neng dapet voucher biar biaya ongkir eh malah tiba hilang gitu aja,harga,negatif,1
tepat waktu,lainnya,positif,5
mantap bagus jaket kusam ksih,lainnya,positif,5
aplikasi tidak jelas sinyal bagus g buka,aplikasi,positif,1
buat kirim barang same day tidak bayar tunai,lainnya,negatif,1
belanja makin enak nyaman ad aplikasi grab,keamanan,positif,5
gilak juli grab mahal banget grab hemat rb,lainnya,negatif,2
baru hari ongkos grab hemat naik ribu jadi gan jujur kecewa aaya naik grab tiap hari kalau kali kan hari kerja lama hari kerja lebih kurang bulan nambah biaya hadeuhh gan bukan turun malah naik,harga,negatif,3
ribet mau bayar pake qris aja hrus scan muka kamera hp gw rusak coba hp malah gabisa pake qris padahal akun sama,lainnya,negatif,1
ramah,lainnya,positif,5
aplikasi mantap,aplikasi,positif,5
sangat bagus,lainnya,positif,5
praktis cepat,lainnya,positif,5
langgan sama tidak langgan tidak beda sama mahal selalu tidak promo jadi beda apa coba makan mahal transportasi mending pindah apk percuma langgan tetap rugi bayar langgan mahal terus semja harga tetap mahal,harga,negatif,1
grab hemat udah tidak sekarang jadi,lainnya,netral,3
selalu sen sesuai titik jemput otomatis malah ngarah gg belah mls banget sampe sering dpet omong dri driver titik jemput benerin mbak gabisa otomatis mala ngarah gg satu pdhl depan rumah tu dah jalan dri gg tidak masuk tikung gg mls banget tiap sen bilang dlu mapping,aplikasi,netral,3
grab promo dong woy ah,lainnya,negatif,1
tiba naik aja harga,harga,negatif,1
diskon,lainnya,positif,5
waktu instal ulang mau pesan grabcar tambah kontak darurat tambah tetap muncul item tambah kotak darurat tidak pesan grabcar halang pop up tanbah kotak sayang apa pop up spt ganggu kalau penuh muncul terus,lainnya,negatif,1
suka aplikasi pesan apa,aplikasi,positif,5
mantul,lainnya,positif,5
bintang puluh,lainnya,positif,5
grab sangat bantu butuh transportasi cepat,lainnya,positif,5
banyak sekali kurang grab paket hemat kalau malam hari pukul k atas driver mesti banyak alas batalin titik jemput terlalu jauh driver byak berat minta d cancel padahal pakai harga standart prioritas maps tidak akurat sekali jadi tanya grab tidak d bubarin kalau driver kayak gt motor mobil sama aja d tertib driver bayar bukan ngutang,harga,negatif,1
bagus sekali mudah dah cepat,lainnya,positif,5
mantap sangat sopan tertib santun mhn puas driver pihak grab sejahtera driver masa harga tarif maps jauh dekat sama aj mhn klarifikasi tarif maps kasi banget driver trims,harga,positif,5
baik performa mitra bintang,lainnya,positif,5
jangan kasih terlalu murah kemudi karna suami driver,driver,positif,5
baik sopan rahmah is,lainnya,positif,5
lebih baik,lainnya,positif,5
puas banget naik grab nyaman aman penting murah tidak murah tidak bkin kantong jebol layan oke banget,keamanan,positif,5
bagus sangat bantu,lainnya,positif,5
sangat bantu masa kini evaluasi fitur hemat banyak driver salah customer guna fitur hemat kata driver fitur hemat buat driver rugi normal customer beri bagai pilih harga pilih murah,harga,positif,5
hormat aplikator biaya kain lain malah mahalin ahahah,harga,negatif,1
driver grab manja sekali mau kerja enak ongkos mau banyak jadi ceo lah kelen,driver,negatif,1
sangat puas,lainnya,positif,5
baik baik,lainnya,positif,5
oke bantu naget,lainnya,positif,5
grab hemat skrg mahal,lainnya,negatif,1
potong driver sangat kejam tidak manusiawi benar benar peras keringat manusia,driver,negatif,1
knp nih kok aplikasi ngebug,aplikasi,negatif,2
beberapa driver grab buruk sekali etika bingung tunda jemput tidak cancel jadi tumpang bingung nunggu nyata beri sempat waktu lama akhir cancel beberapa driver tidak sabar selalu cancel sembarang tunggu menit aneh sekali driver tidak jelas tidak adab semua tidak konfirmasi tidak informasi sangat buruk driver buang waktu,driver,negatif,1
mes wak dower menu bebek bakar paket driver grab datang gesa gesa kata pesan bawa satu pesan lain beri intruksi lantai gedung malah nyari lantai transaksi milik real estate mau bayar uang bayar driver inisial a lengkap pesan dituker dateng malah chicken salted egg with rice teh manis tidak pertanggungjawaban beri driver inisial a,driver,negatif,1
kerenn,lainnya,positif,5
pesan cepat kasih bintang,lainnya,positif,5
sangat mudah jalan tidak panas tidak hujan super nyaman murah sangat jangkau bebas polusi terima kasih grab,keamanan,positif,5
driver tidak sopan titik customer driver tidak sama malah kasih rating toko google maps aplikasi tidak akurat customer kena masalah driver tidak mau kasih jelas,aplikasi,negatif,1
aplikasi susah buka,aplikasi,negatif,1
sangat manfaat,lainnya,positif,5
baru kali sen grab car driver kecewa pas mau naik malah tumpang pas udah mau sampe rumah cuma g pas titik maps tuh driver langsung ngedumel kaya mulut emak bilang rasa rugi bilang aja kalau minta uang lebih orang tau diri sll lebihin bayar kalau naik apa hadeeh jaman sekarang orang jahat yaaa lgsg bayar rb padahal harga normal msh ngedumel aja tuh driver,keamanan,negatif,1
guoblok,lainnya,negatif,1
link pantau grab food hapus sulit hampir tiap hari guna kirim keluarga,lainnya,negatif,2
ikutin atur perintah potong argo buat driver rangin belum masuk potong buat konsumen malah naik biasa jarak deket regulasi buat sengsara driver konsumen,driver,negatif,1
ramah cepat,lainnya,positif,5
terlalu lama tunggu,lainnya,negatif,1
grab sangat ramah sopan,lainnya,positif,5
tidak fitur motor xl,lainnya,netral,3
jossaaaaaaaaaaaaa,lainnya,positif,5
hapus aja kalau tidak jangan download buat rp indonesia naik,lainnya,negatif,1
halo kak knp aplikasi stuck tidak liat map driver pesan gofood fix dong aplikasi,aplikasi,negatif,1
map grab tai,lainnya,negatif,1
tipu nunggu pesan jam lebih tiba grab batal,lainnya,negatif,1
aplikasi grab bike mahal bangettt padahal jarak dekattt bangett,aplikasi,negatif,3
grab makes daily life much more convenient booking rides is quick the drivers are usually friendly and the food delivery service is reliable i also appreciate the frequent discounts and smooth payment process,aplikasi,positif,5
moga driver selalu ramah baik sama costumer,driver,positif,4
driver luar biasa grab moga tambah baik lgi,driver,positif,5
cukup baik,lainnya,positif,5
enakk nyamannn,keamanan,positif,5
baru tmbh jelek aja tampil maps tidak kliatan posisi driver,driver,negatif,2
assalamu alaikum wr wb bagus,lainnya,positif,5
grab food fitur bantu jelek sekali pakai chatbooth tidak solusi sesuai kondisi rugi customer tidak mau pakai layan grab food,layanan,negatif,1
ramah sopan,lainnya,positif,5
lah,lainnya,positif,5
pesan tepat waktu,lainnya,positif,5
layan baik,layanan,positif,5
profesional,lainnya,positif,5
murah ongkos buat hemat,lainnya,positif,5
lu benerin g tu error tampil grabfood g liat map driver mana,driver,negatif,3
grab okey,lainnya,positif,5
lebih sangan bantu layan mantap,layanan,positif,5
semenjak juli pesan grabfood tidak bonus gratis ongkir mesan grabmart grabfood pesan tracking driver gaj lihat maps kok tambah mundur layan kemarin udah neng gratis ongkir pesan dua sekarang tidak responnya pihak grab,layanan,negatif,1
layan bantu isi bot semua tidak banget hapus aja tuh layan bantu,layanan,positif,1
promo beri sekali hari tidak beri tahu terang promonya,lainnya,negatif,1
grab is a very helpful app for daily activities it makes transportation food delivery and other services easier and more convenient,aplikasi,positif,5
bintang terima kasih grab kerja sama,lainnya,positif,5
lebih cepat waktu manty,lainnya,positif,5
gokil,lainnya,positif,5
oke si jadi lebih mudah mana minus aku pake indo grabpay pindah malaysia grabpaynya jadi kalau mau sen makan pakai tunai,lainnya,positif,4
kapitalis pajak mesen makan mahal banget,lainnya,negatif,1
maps benerin gmna mau liat driver udah sampe mana,driver,negatif,1
ramah mobil bersih,lainnya,positif,5
very good pokok i love it,lainnya,positif,5
banyak tempat besar tidak lokasi daftar sulit d pesan lokasi tidak nyasar ogkos malh gede,lainnya,netral,3
respon datang jemput tepat waktu,layanan,positif,5
bagus apk lokasi singapura terusssssss,aplikasi,positif,4
driverny ramah baik,driver,positif,5
tidak buat pesan situasi mepet jadi telat ngebug,lainnya,negatif,1
kalau mau sen grab lot banget,lainnya,netral,3
kadang map ubah map abang udah deket tiba jauh jarak awal menit tiba menit terys menit abis menit kocak,lainnya,netral,3
semua baik,lainnya,positif,5
semenjak update akhir kok jadi error,lainnya,negatif,1
baru kok malah makin mahal,lainnya,negatif,3
kalau toko tutup close lah pemesanannnya stresss pesan dah lamaa nyata toko tutup stresss,lainnya,negatif,1
aplikasi lot banget mau nyari titik tuju lama banget padahal jaring lancar baik developer,aplikasi,positif,3
ongkir kalau jangan mahal,harga,negatif,5
on time,lainnya,positif,5
sangat bantu mudah,lainnya,positif,5
aplikasi mudah eror kurang top lah masa sen makan ampe jam gila aplikasi,aplikasi,positif,1
grab delivers reliable transportation food delivery and financial services making everyday life more convenient for its users,lainnya,positif,5
qr code tidak muncul woi,lainnya,negatif,2
layan bagus saran upgrade map,layanan,positif,5
lanjut baik selalu,lainnya,positif,5
jujur grab udah jadi aplikasi sering banget aku andal mau pesan kendara makan kirim barang semua praktis satu aplikasi driver aku temu ramah proses pesan cepat banyak promo buat lebih hemat fitur lacak real time ngebantu banget jadi lebih tenang nunggu pesan jauh alam pakai selalu muas,aplikasi,positif,5
makasih,lainnya,positif,5
cepat,lainnya,positif,5
tidak jelas aplikasi masa gw pesan grabfood jam sampe jam mlm tidak yng nerima order kalau emng tidak langsung batal jangan sampe gw nunggu lama anjirr sangat kecewa,aplikasi,negatif,1
maaf banget yaa aku tidak pernah masalah apa sama abang grab belum bahkan kadang aku kasih lebih hari beda banget aku sen tidak tau cancel sendiri and abang tetep datng aku jelasin pelan kalau bukan aku and tetep make jasa karna tidak enak cuma tidak minta harga promo harus sesuai karna sen aku tpi mau harga bike standar aku tidak masalah si ngasih lebih cuma tetep aja tidak sesuai harga aku sen cara gitu,harga,netral,3
nge bug pesan ambil tampil jam pasir jadi tidak nge lacak pesnan mana,lainnya,positif,5
knp skrg kalau sen grebfood pesan tidak lacak pesan kaya susah banget tau depan rmh aja buat nungguin jdnya tidak tau posisi driver,driver,negatif,4
beberapa kali aku hapus instal ulang pas pesan go tanda apa layar error kasi kurir ngntar jadi sulit krna kendala,lainnya,negatif,3
tarif grabfood ubah ubah tiap menit moga kompetitor baru grab segera bangkrut,harga,negatif,1
moga depan grabfood tidak buat customer tunggu jam,lainnya,negatif,1
harga makan cuma jadi cuma pada ongkir uda terlalu mahal ongkir k tpi total lebih sendiri tidak ngotak harga,harga,negatif,1
pesan grabfood tidak cek pesan selalu gambar jam pasir benah bug,lainnya,negatif,1
sering banget ganggu sekarang,lainnya,negatif,1
knp punya muncul jam pasir trs,lainnya,netral,3
pakai selfie segala,lainnya,negatif,1
layan,layanan,positif,5
tidak batal pesan gara resto tutup tidak cs hubung,layanan,negatif,1
aku rating ulang apk makin banyak eror,aplikasi,negatif,1
merchant batal pesan pihak grab tidak laku kembali uang tahan lama minggu butuh orang beda kembali segera,lainnya,negatif,1
nyaman dn bgus,keamanan,positif,5
jelek banget nih apk order suka dibatalin sama driver knapa karna murah lah terus ngapain promo kocak,aplikasi,negatif,1
mantapp,aplikasi,positif,5
palayana capat baik,layanan,positif,5
bapak ramah,lainnya,positif,5
baik bagus ringan kan butuh,lainnya,positif,5
tarif mahal banget,harga,negatif,1
oke lah,lainnya,positif,5
grab aplikasi serba asal singapura populer banget asia tenggara layan mirip gojek grabcar grabbike buat transportasi grabfood buat sen makan grabexpress buat kirim barang grabmart buat belanja groceries fitur andal grabrewards buat kumpulin poin tiap transaksi dituker diskon voucher sering promo kode grabfood,layanan,positif,5
ovo paylater udah dilunasin semua limit jadi hadeh,lainnya,negatif,1
notif sangat ganggu,lainnya,negatif,1
lot bnget tau,lainnya,negatif,1
oke sangat bantu sekali,lainnya,positif,5
pesan mie gaco nunggu estimasi jam kocakkkkk padahal restonya tidak rame heran aku kecewa,lainnya,negatif,1
sering tolak kalau pake hemat mnding hpus aja fitur hemat,lainnya,netral,3
rasa lebih mudah laku apa,lainnya,positif,5
jauh blum kendala nyaman nyaman aja ada aplikasi sangat bantu sekali terimakasih buat grab,keamanan,positif,5
good aplikasi,aplikasi,positif,5
apasih gaje banget hilang fitur pilih driver,driver,negatif,1
driver emang cuman marahin costumer minta aja costumer maki maki padahal bayar sesuai aplikasi,aplikasi,netral,3
gajelas map driver suka ubah ubah sendiri jadi rumit tidak sesuai tuju,driver,negatif,2
sedia blacklist kurir karna aplikasi bagus kurir kadang tidak bagus,aplikasi,positif,5
sangat baik trima kasih mas grab sukses slalu aamiin,lainnya,positif,5
tiba order notif dpt driver malah notif tambah layan kocak poollll mau ras customer makin hari makin ndk jls,layanan,negatif,1
sangat puas thanks,lainnya,positif,5
selalu baik,lainnya,positif,5
sekarang pesan apa apa ngk konfirmasi dulu ngeselin mau batalin ngk,lainnya,negatif,1
layan oke,layanan,positif,5
sangat bantu pas lapar gab,lainnya,positif,5
apdet terus cari jual makan dekat malah arah jauh dekat tidak muncul t k,lainnya,negatif,2
layan muas,layanan,positif,5
cukup bantu,lainnya,positif,5
turunin sekarang kalau buka aplikasi loading lama bener menu,aplikasi,netral,3
gampang guna,lainnya,positif,4
puas,lainnya,positif,5
bagus bantu sekali,lainnya,positif,5
makasih kak geme udah kirimin aku balas kak nama komentar aku aida ida,lainnya,positif,4
driver baik tidak neko,driver,positif,5
layan bagus mnurut oke,layanan,positif,4
sangadt baik,lainnya,positif,5
bagus tlng bantu keluar pgn pakek grab krna tidak nganterin,lainnya,positif,5
goodjoob,lainnya,positif,5
platform transportasi online sedia layan jalan kirim makan belanja hingga bayar digital,layanan,positif,5
promo hilang keluar aplikasi aneh,aplikasi,negatif,1
tidak login akibat capture muka tidak berdelay gagal kali lalu tidak login,lainnya,netral,3
aplikasi paling tolol lebih pinteran muntah kecoak tetangga gw,aplikasi,negatif,1
cepat aman senang kemudi komunikatif,keamanan,positif,5
sangat baik ramah driver,driver,positif,5
bagus pilih tepat,lainnya,positif,5
cepat cara order,lainnya,positif,4
sangat aman nyaman,keamanan,positif,5
tadi suka pakai jasa grab banyak promonya sekarang gegara seliwer promo hampir semua medsos foto orang kumis pas promo makan jujur eneg ken muntah tengok jijik banget ilfeel grab sekarang,lainnya,negatif,1
tidak becus nyari driver manja semua tidak aplikasi belah,aplikasi,negatif,1
guna grab cukup lama sangat puas mesan kendara mudah antar makan cepat aplikasi stabil sangat rekomendasi,aplikasi,positif,5
praktis ekonomis episien,lainnya,positif,4
sangat bantu mudah pergi,lainnya,positif,5
pihak usaha grab kalian jangan rakus kali buat kasih potong kas kalian,lainnya,negatif,1
kalau batal tarif terus naik kalau driver batal gana lama mau monopoli,harga,negatif,1
ramah tamah kemudi,lainnya,positif,5
the best,lainnya,positif,5
punya pinjol utama julo superbank amar mending uninstall kait lindung privacy sebar data,lainnya,negatif,1
bagus banget coyyyyy keren apk,aplikasi,positif,5
reaksi driver banget,driver,positif,5
sangat rekomended bantu,lainnya,positif,5
mantep,lainnya,positif,5
iklan jangan muncul pas main,lainnya,negatif,1
minim jastip apk terlalu susah dapat jastip lama d proses jm sendiri blm dapet terus jaring susah terlalu sering muat jaring padahal kuota banyak d baik lg apk,aplikasi,negatif,1
very convenient for daily transportation and food delivery the service is reliable and the app is easy to navigate,aplikasi,positif,5
dana blm balik minggu kt a hari otomatis langsung masuk lg kartu visa hari blm masuk chat sama cs tidak solusi ngulang gitu terus,layanan,negatif,1
terima kasih atas layan beri,layanan,positif,5
mantapp betull diskon belanja bukan main,aplikasi,positif,5
favourite app so easy to go anywhere you want,aplikasi,positif,5
sistem bayar ribet beberapa opsi wkwkw,aplikasi,negatif,1
bagus banget siip lahh sukse trus semua toko ms grabnya,lainnya,positif,5
suka,lainnya,positif,5
mantaf,lainnya,positif,5
deviasi titik jemput capai puluh mete,lainnya,positif,5
iklan makasa tiba kedonwlod,lainnya,negatif,1
terimakasih pelayananny,layanan,positif,5
sangat bantu hidup hari hari,lainnya,positif,5
tarik,lainnya,positif,5
tidak sopan tanya baik baik malah nyolot mau ninggalin anak orang titik tidak usai bahaya kalau anak gw knp knp gmn bahkan tidak pantes dapet bintang harus grab kalau ngerekrut orang bener bener punya didik,lainnya,positif,1
buat captha apk nye siape ye paling bodoh babi tk sekolah smpai nk login pon susah,aplikasi,negatif,1
drevernya samgat baik,lainnya,positif,5
ramah peduli,lainnya,positif,5
bug trs ih kalau update aneh,lainnya,negatif,2
mantab grab,lainnya,positif,5
apk grab skrng tidak pesan kendara sharelok langsung jadi ribet,aplikasi,negatif,1
bagus layan,layanan,positif,5
terima baik,lainnya,positif,5
bagus sih pas mendung dikit harga langsung naik mahal banget apalgi pas mau berangkat sekolah hujan selesai driver gamau ngambil,harga,positif,5
mantap layan,layanan,positif,5
kurang akurat sering eror,lainnya,negatif,1
terima kasih,lainnya,positif,5
periguud,lainnya,positif,4
sangat kecewa grab purwodadi grobogan kalau stasiun ngrombo desa pulongrambe minta batalin kol ngak minta naik rb padahal aplikasi cuma,aplikasi,negatif,2
ed l arra,lainnya,negatif,1
atas wiwid keluar grab soal belum bayar utang,lainnya,negatif,2
jelek,lainnya,negatif,5
tidak login sms wa tidak dapet kode verifikasi kali kali tidak kirim,lainnya,negatif,1
aplikasi apa kira main pesan makan sepele sekali orang sekarang gamau uang tunai apa bayar kira pesan terus makan gratis doang gitu apa apasih kalau emang gada antar makan mending bilang awal udah pes terus kata selesai bukti estimasi undur terus akhir dibatalin maksud apa coba grab tinggal papua selatan jangan kira pesan cuma main,aplikasi,negatif,1
lokasi barang enggak sesuai padahal barang toko,lainnya,netral,3
app tidak jelas mending jangan grab,aplikasi,negatif,1
sayah aktif online tiba tiba notifikasi sayah guna aplikasi padahal guna apa sesuai bawan hp bahkan satu hp guna husus grab,aplikasi,negatif,1
trims driver ramah cepet,driver,positif,5
bagus banget,lainnya,positif,5
maps kurang akurat taruh titik sesuai maps kata supirnya kurang satu kilo,driver,negatif,1
laku ombak biar tempat bayar tunai cod,lainnya,negatif,1
gmna si pesan batal kata nunggu bulan kembali sampe skrg blm transaksi uang kembali m banking emng tidak sbrp anak kos lah dibalikin,lainnya,negatif,1
tidak akses kamera izin aktif smua kamera tidak masalah jadi tidak login instal apl x mungkin lebih tetep tidak,lainnya,negatif,1
overal update lumayan bagus pesan order jangan suka ngebug yaa padahal jaring,lainnya,positif,4
aplikasi sangat bantu,aplikasi,positif,5
sangat senang,lainnya,positif,5
selisih bayar komplain kata kembali grab hari hari janji tidak masuk bagaimana tanggung jawab kasus banyak jadi cara grab langsung potong via debit bahkan pihak merchant driver merespon begini cara grab cari uang,layanan,negatif,1
antar cepat tmksh,lainnya,positif,5
bagus nyaman,keamanan,positif,5
nyaman,keamanan,positif,5
pesan datang tidak sesuai sma pesan aplikasi udah ngajuin admin grab udah kirim bukti foto kata foto tidak valid bukan masalah uang hamil nyidam makan respon adminnya via apk gmail sangat lambat,layanan,negatif,1
aman,keamanan,positif,5
terlalu sering eror selalu saat genting jadi maaf bintang,lainnya,netral,3
kecewa berat grab hemat layan buruk sekali baik,layanan,negatif,1
lelet lot parah mau pakai wifi kuota sekalipun,lainnya,negatif,1
d benah aplikasi soal buru malah apk susah buat d buka,aplikasi,negatif,3
ramah sabar,lainnya,positif,5
ramah baik mantap,lainnya,positif,5
alam buruk fitur cancel,lainnya,negatif,1
a k mm a o u km m mi t a l a aq a a a a q q q m m k qq m mm q mi mm m mi k o k,lainnya,positif,5
muahal,lainnya,negatif,1
bete banget sen mkn nungguin jam tengah uda lama gtu endingnya d batalin krna driver jauh lokasi sumpahh sebel pol uda mlm lagiii fakk,driver,negatif,1
jaring server jelek padahal pake mbps mau mesen tidak kan dongo,lainnya,negatif,1
driver tepat waktu,driver,positif,5
tetap waktu dang baik,lainnya,positif,5
jarang aku pake sih mungkin aku bakal pake kalau aku butuh,lainnya,positif,4
aplikasi sering lag,aplikasi,negatif,1
grabfood lambat uda nunggu jam tengah,lainnya,negatif,1
bagaimana beli voucher grab tidak temu voucher aplikasi grab bagaimana cara guna voucher m jaring buka grab banyak error,aplikasi,negatif,1
lunas paylater malah limite tidak padahal blm waktu bayar,lainnya,positif,5
bagus layan ojolnya jauh sopan kalau misal komplain pihak grab respon baik sekarang update terus baru update juni juni update,layanan,positif,3
aplikasi sangat bagus manfaat good grab orang driver grab jugak thanks grab,aplikasi,positif,5
