text,score
grab sekarang kejam kasihan sama driver nya sejak potongan 8% bukan bertambah penghasilan malah di kurangin pendapatan sungguh biadab,1
👍🏾,5
bagus,5
"Jujur kecewa bgt udh 2 kali dapet driver yg jutek banget bahkan sampe blg ""harusnya saya ga ambil ini karena udh kejauhan"" ya gausa jd driver lah pak kalau gitu. Kita naik grab juga bayar gak gratis. Ga ramah samsek pelayanan nya. Hampir semua driver mobil respon nya ketus. Padahal sbg pelanggan udh berusaha ngehormatin. Tlg lah diperbaiki lagi pelayanan nya.",1
banyak bug,1
mntap,5
"tiba2 banget ada tunggakan nyampe 435rb dari grab car. liat riwayat ga ada perjalanan, aneh banget. mau dipake app nya harus bayar dulu tunggakan, tolong dong dibenerin ini.",1
baik,3
bagus dan aman,5
"Sekarang bayar grab jadi mahal ,nggak kaya kemarin ,sekarang harga nya naik",2
mempermudah tranportasi saat d butuhkan!,5
driver sangat ramah,5
"ah ngeselin bgt,update tuh beri tanda pilihan ya sekarang atau nanti kek. mau mesen karna udah buru2 mesti update dulu",3
suka banget sama aplikasi ini,5
sialan update aja lama.,2
user friendly,5
mantab,5
sering bgt sh error buka grabnya !!!!????!!!!,2
penghantar sngat sopan2 dan sesuai dgn jadwal,5
baik,5
sorry yeeee,1
baik,5
ok,5
perjalanan yang menyenangkan,5
good job,5
"kalau boleh usul , setiap orderan makanan wajib lunas bayar makanan lewat ovo ,supaya driver tidak di rugikan apalagi makanan mahal kasihan kalau menanggung orderan makanan yang di cancel. mohon perhatiannya",5
membantu,5
grab bagus,5
mudah dan cepat,2
baik,5
"Seharus nya ada fitur membatalkan pesanan di 10 detik pertama agar kesumen bisa membatalkan pesanan secepatkan mungkin jika ada kesalahan waktu pemesanan dan tanpa merugikan pihak ojok dan penjual, sangat merepotkan",1
"awalnya ada voucher promo ongkir 10 ribu, lagi mau pilih menu makanan tiba"" sudah hilang voucher nya padahal baru selang beberapa menit saja, dan saya juga lihat kalo masa berlaku nya itu masih lama, tolong kalau mau ngasih itu yg bener, udh seneng"" dapet voucher biar nggak ada biaya ongkir eh malah tiba"" hilang gitu aja.",1
tepat waktu,5
"mantap bagus,tapi untuk jaket nya jika kusam tolong di ksih lagi",5
aplikasi gak jelas.... sinyal bagus g bisa di buka😡😡😡,1
mantap,5
bagus,1
oke,5
"Buat Kirim Barang Same Day, Gak Bisa Pembayaran Tunai",1
belanja semakin enak dan nyaman setelah ad aplikasi grab,5
sangat membantu,5
💖💖💖💖,5
bagus,5
gilak 1 juli grab mahal banget grab hemat tapi 13 rb,2
terbaik,5
"baru dua hari ini ongkos grab hemat naik dari 7000 ribu menjadi 9000 kenapa gan ? jujur kecewa karena aaya naik grab tiap hari , kalau di kali kan hari kerja saya selama 24 hari kerja lebih kurang nya dalam sebulan , itu saya harus nambah lagi biaya , hadeuhh gan bukannya turun malah naik 🥺🥺",3
"ribet mau bayar pake qris aja hrus scan muka, sedangkan kamera hp gw rusak coba di hp lain malah gabisa pake qris padahal akun sama",1
ramah,5
aplikasi mantap,5
Sangat bagus,5
bagus,5
"praktis dan cepat,",5
"langganan sama tidak langganan gak ada bedanya, sama² mahal dan selalu gak ada promo, jd bedanya apaan cobalah? makanan mahal, transportasi juga, mending pindah apk percuma langganan tapi tetap rugi, bayar langganan mahal, terus semja harganya jg tetap mahal.",1
grab hemat udah gak ada lagi ya sekarang jadi 8000 lagi,3
selalu pesen sesuai tp titik penjemputan otomatis nya malah ngarah ke gg sebelah mls banget sampe sering dpet omongan dri driver titik penjemputan nya di benerin mbak gabisa otomatis mala ngarah ke gg satu nya pdhl depan rumah tu dah jalan dri gg gak masuk tikungan gg lagi mls banget tiap pesen harus bilang dlu mapping,3
grab promo dong woy ah !.,1
tiba2 naik aja harganya,1
bagi diskon,5
waktu instal ulang mau pesan grabcar harus menambahkan kontak darurat. ketika sudah ditambahkan tetap muncul item tambah kotak darurat sehingga tidak bisa pesan grabcar terhalang pop up tanbah kotak yang disayang apalah itu. tolong ya pop up spt itu mengganggu kalau sudah terpenuhi masih muncul terus.,1
baik,5
suka aplikasi ini bisa pesan apapun,5
sangat baik,5
ok,5
mantul,5
bintang sepuluh,5
grab sangat membantu.di saat kita butuh transportasi cepat,5
"banyak sekali kekurangan di grab.. 1. Paket hemat kalau di malam hari sekitar pukul 21.00 k atas,,driver mesti banyak alasan untuk kita yg batalin 2. Titik penjemputan terlalu jauh dan driver byak yg keberatan dan minta d cancel padahal pakai harga yg standart dan yg yg prioritas 3. Maps tidak akurat sekali Yang jadi pertanyaan saya,,kenapa grab masih ada dan tidak d bubarin kalau driver2 nya kayak gt (motor dan mobil sama aja ) TOLONG D TERTIBKAN DRIVER2 NYA,, KITA BAYAR BUKAN NGUTANG",1
bagus sekali mudah dah cepat,5
Mantap sangat sopan tertib santun mhn demi kepuasan driver pihak grab di sejahterakan driver masa harga tarif maps jauh dekat sama aj 12000 mhn di klarifikasi tarif maps nya kasian banget para drivernya TRIms,5
"perbaikan performa mitra bintang 🌟 5,kembali",5
"jangan kasih terlalu murah untuk pengemudi,karna suami saya juga driver",5
Baik Sopan dan Rahmah is ok,5
lebih baik,5
"puas bgt naik grab, nyaman aman, yg terpenting murah tapi ga murahan, ga bkin kantong jebol , pelayan ya oke bgt ,",5
bagus sangat membantu,5
bagus,5
"sangat membantu di masa kini, tapi tolong evaluasi fitur ""hemat"", banyak driver menyalahkan kami (customer) karena menggunakan fitur hemat, kata mereka (driver) fitur ""hemat"" hanya bikin driver rugi, normalnya customer jika diberikan berbagai pilihan harga akan memilih yang termurah",5
ok,5
hormat kepada aplikator biaya kain lainnya malah di mahalin ahahah,1
"driver grab manja sekali,mau kerja enak ongkos mau banyak jadi CEO lah kelen",1
sangat puas,5
Baik terbaik,5
oke membantu naget,5
grab hemat skrg mahal,1
"POTONGAN UNTUK DRIVER NYA SANGAT KEJAM DAN TIDAK MANUSIAWI, BENAR BENAR PEMERAS KERINGAT MANUSIA!!!",1
knp nih kok aplikasinya ngebug,2
"beberapa driver grab buruk sekali etikanya, membingungkan menunda penjemputan tapi tidak di cancel jadi penumpang bingung nunggu ternyata setelah diberi kesempatan waktu lama akhirnya di cancel, dan beberapa driver tidak sabaran selalu cancel sembarangan hanya untuk menunggu 1-3 menitan, aneh sekali drivernya pada ga jelas!!!!!! tidak beradab semua, ga ada konfirmasi, ga ada informasi!!!! sangat buruk drivernya buang waktu!!!!!!!!!!!!",1
"saya memesan wak dower dengan menu 2 Bebek bakar paket, driver grab datang tergesa-gesa mengatakan ada pesanan lain bawa satu pesanan lainnya, saya beri intruksi ke lantai 1 gedung 2 malah nyari saya ke lantai 2, setelah itu transaksi dengan pemilik real estate mau bayar uang yang dibayar ke driver Berinisial A ini sudah lengkap tapi pesanannya dituker yang dateng malah chicken salted egg with rice dengan teh manis tidak ada pertanggungjawaban yang diberikan driver berinisial A",1
kerenn,5
sangat bagus,5
pesanan cepat saya kasih bintang 5,5
sangat memudahkan untuk perjalanan tidak kepanasan tidak kehujanan super nyaman murah dan sangat terjangkau bebas polusi terima kasih grab ..,5
Ok,5
"Drivernya tidak sopan, titik di customer & driver tidak sama, malah kasih rating 1 di toko google maps Aplikasi tidak akurat customer yg kena masalah, drivernya tidak mau di kasih penjelasan",1
aplikasi susah dibuka,1
sangat bermanfaat,5
"baru kali ini pesen grab car, dapat driver nya mengecewakan. pas mau naik, malah ada penumpang lain. pas udah mau sampe rumah, cuma g pas titik maps nya tuh driver langsung ngedumel kaya mulut emak², bilangnya merasa di rugikan. bilang aja klo minta uang lebih. saya orang nya tau diri, saya sll lebihin bayaran klo naik apa². hadeeh, jaman sekarang orang pada jahat² yaaa. saya lgsg bayar 100rb, padahal harga normal 35.500 msh ngedumel aja tuh driver.",1
guoblok,1
"link pemantauan grab food dihapus, itu menyulitkan, saya hampir tiap hari menggunakan untuk mengirimkan pada keluarga.",2
terbaik,5
terbaik,5
#ikutin aturan pemerintah potongan8%🆗 tp argo buat driver di kurangin itu belum termasuk potongan 8% buat konsumen jg malah naik biasa jarak deket 7000 ini 9000... regulasi yg bikin sengsara driver dan konsumen,1
ramah dan cepat,5
sangat puas,5
sangat membantu,5
bagus,5
bagus,5
terlalu lama menunggu,1
grab nya sangat ramah dan sopan,5
ga ada fitur motor xl,3
jossaaaaaaaaaaaaa,5
"hapus aja klo gk jangan di download,ini yg bikin rp indonesia naik",1
"halo kak knp aplikasi saya stuck ya gak bisa liat map drivernya ketika pesan gofood,tolong di fix dong aplikasinya",1
map grab tai,1
penipu. nunggu pesanan 2 jam lebih tiba2 grab yg batalkan.,1
sangat baik,5
aplikasi grab bike mahal bangettt padahal jaraknya dekattt bangett,3
"Grab makes daily life much more convenient. Booking rides is quick, the drivers are usually friendly, and the food delivery service is reliable. I also appreciate the frequent discounts and smooth payment process.",5
semoga driver selalu ramah dan baik sama costumer,4
oke,5
driver nya luar biasa grab semoga tambah baik lgi,5
good,5
cukup baik,5
enakk.. nyamannn,5
udh di perbarui tmbh jelek aja tampilan nya. maps nya ga kliatan posisi driver,2
assalamu'alaikum wr. wb.. 👍👍bagus,5
di grab food fitur bantuannya jelek sekali. pakai chatbooth tidak ada solusi yg sesuai dengan kondisi. merugikan untuk customer. saya tidak mau lagi pakai layanan grab food.,1
ramah dan sopan,5
Ok lah,5
pesanan tepat waktu,5
baik,5
mantap,5
layanan baik,5
baik,5
profesional,5
Murah ongkosnya bikin kita hemat,5
bagus,5
lu benerin g tu error tampilan di grabfood. g keliatan map driver sampai mana,3
grab okey👌,5
lebih sangan membantu pelayanan nya mantap,5
"semenjak 1 Juli 2026:1. saat pesan GrabFood gak ada bonus gratis ongkir untuk pemesanan grabmart/GrabFood pesanan ke dua. 2. tracking driver gaj terlihat di maps. kenapa ya.... kok tambah mundur pelayanan nya. kemarin saya udah seneng dapat gratis ongkir di pesanan kedua, sekarang gak ada! tolong responnya dari pihak grab",1
"layanan bantuan isinya bot semua, ga guna banget, hapus aja tuh layanan bantuan",1
"promo yang diberikan hanya sekali sehari, namun tidak ada diberi tahu dalam keterangan promonya",1
"Grab is a very helpful app for daily activities. It makes transportation, food delivery, and other services easier and more convenient.",5
sangat baik,5
bintang 5 terima kasih grab untuk kerja sama nya ☺️,5
ok,4
lebih cepat dari waktu nya. manty,5
gokil,5
top,5
"oke si jadi lebih mudah kemana mana ,tapi minusnya aku pake di indo grabpay nya bisa tapi setelah pindah malaysia grabpaynya nggak bisa, jadi kalo mau pesen makan harus pakai tunai",4
kapitalis pajak mesen makan mahal bgt,1
👌,5
MAPS BENERIN GMNA MAU LIAT DRIVER NYA UDAH SAMPE MANA!!,1
ramah dan mobilnya bersih,5
good,5
"very good pokoknya ,i love it",5
banyak tempat2 yg besar. namun tidak ada di dalam lokasi terdaftar. sulit untuk d pesan lokasi gk ada. yg ada nyasar ogkos malh gede,3
respon dan kedatangan penjemputan tepat waktu,5
ok,5
bagus apk nya tapi kenapa lokasi saya di singapura terusssssss,4
driverny ramah baik,5
pelayanan cepat,5
tidak bisa dibuat pesan saat situasi mepet(jadi telat) karena dia ngebug,1
mantap,5
KALO MAU PESEN GRAB LEMOT BANGET,3
"Kadang mapnya berubah2, di map abangnya udah deket tiba2 menjauh jaraknya. Di awal 2 menit, tiba2 4 menit, terys 5 menit, abis itu 9 menit. kocak",3
semua baik,5
ini semenjak.update terakhir kok jadi error,1
bagus,5
di perbarui kok malah makin mahal,3
"KALAU TOKO TUTUP ITU DI CLOSE LAH PEMESANANNNYA STRESSS, INI SAYA PESAN DAH LAMAA TERNYATA TOKO TUTUP.... STRESSS",1
"aplikasi lemot bgt,mau nyari titik tujuan lama bgt padahal jaringan saya lancar.Tolong perbaikannya utk developer",3
bagus,5
ongkir klo bisa jgn mahal2,5
on time,5
sangat membantu dan mudah,5
mantap,5
ramah,5
"aplikasi mudah eror, kurang top lah masa pesen makanan ampe 3 jam gila aplikasinya",1
"Grab delivers reliable transportation, food delivery, and financial services, making everyday life more convenient for its users",5
qr code tidak muncul woi,2
"pelayanan bagus, saran upgrade map nya",5
"lanjutkan,terbaik selalu",5
"Jujur, Grab udah jadi aplikasi yang sering banget aku andalkan. 🚕💚 Mau pesan kendaraan, makanan, atau kirim barang semuanya praktis dalam satu aplikasi. Driver yang aku temui juga ramah, proses pesan cepat, dan banyak promo yang bikin lebih hemat. Fitur pelacakan real-time juga ngebantu banget, jadi lebih tenang nunggu pesanan. Sejauh ini pengalaman pakainya selalu memuaskan. 🌟🍔📍",5
makasih,5
cepat,5
"gak jelas aplikasinya masa gw pesan grabfood jam 19:00 sampe jam 23:00 mlm gk ada yng nerima orderanku,kalo emng gk bisa langsung di batali jangan sampe gw nunggu lama anjirr sangat mengecewakan.",1
good job👍,5
"Maaf banget yaa, aku ga pernah bermasalah apapun sama abang grab sebelumnya, bahkan kadang aku kasih lebih. Tapi hari ini beda banget. Aku pesen tapi ga tau kenapa ke cancel sendiri, and abangnya tetep datng. Aku udh jelasin pelan2 kalo itu bukan aku and tetep make jasanya karna ga enak, cuma dia ga minta harga promo yang harusnya sesuai karna pesenan aku, tpi dia maunya harga bike standar. Aku ga masalah si ngasih lebih, cuma tetep aja ga sesuai harga yang aku pesen, apalagi caranya gitu.",3
"nge bug, pesanan sudah diambil, tapi tampilan masih di jam pasir. saya jadi ga bisa nge lacak pesnan saya sampai mana",5
"knp skrg klo pesen grebfood,setelah pesan gak bisa lacak pesanan kaya susah bgt,tau2 didepan rmh aja bikin nungguin jdnya krn gak tau posisi driver",4
beberapa kali aku hapus dan instal ulang karena pas pesan go ada tanda apa² layar error. tolong ini kenapa. kasian kurir yg ngntar jd sulit krna kendala ini,3
good,5
bagus,5
TARIF GRABFOOD BERUBAH-UBAH TIAP MENITNYA! SEMOGA ADA KOMPETITOR BARU SUPAYA GRAB SEGERA BANGKRUT!,1
semoga kedepan grabfood tidak membuat customer menunggu berjam2.,1
driver baik,5
"harga makan cuma 17 jadi cuma 26 padalah ongkir uda TERLALU MAHAL, ONGKIR 5K TPI TOTAL LEBIH SENDIRI GA NGOTAK HARGANYA",1
"saya pesan GrabFood tidak bisa cek pesanan, selalu gambar jam pasir. tolong benahi bug nya",1
boleh lah,5
Sering Banget Gangguan Sekarang 😓😢😭,1
knp punya sy muncul jam pasir trs,3
pakai selfie segala...,1
layanan ok,5
Saya tidak bisa batalkan pesanan gara2 resto tutup. Tidak ada cs yg bisa dihubungi,1
aku rating ulang lagi ini apk makin banyak erornya,1
baik,5
"merchant membatalkan pesanan tp pihak grab tidak melakukan pengembalian uang saya yg tertahan, sudah lama 2 minggu.. kebutuhan orang beda2 tolong kembalikan segera",1
nyaman dn bgus,5
mantap,5
"jelek bgt nih apk, orderan saya suka dibatalin sama drivernya. knapa ya? karna murah kah? lah terus ngapain ada promo kocak?",1
mantapp,5
palayana capat dan terbaik,5
bapaknya ramah,5
baik bagus dan meringankan kan bagi yang membutuhkan,5
tarif nya mahal banget,1
oke lah,5
"Grab adalah aplikasi serba bisa asal Singapura yang populer banget di Asia Tenggara. Layanannya mirip Gojek: ada GrabCar & GrabBike buat transportasi, GrabFood buat pesen makan, GrabExpress buat kirim barang, dan GrabMart buat belanja groceries. Fitur andalannya ada GrabRewards buat kumpulin poin tiap transaksi yang bisa dituker diskon atau voucher. Sering ada promo kode GrabFood",5
ovo paylater udah dilunasin semua tapi limit jadinya 0 hadeh,1
mantap,5
notif nya amat sangat mengganggu,1
lemot bnget tau,1
Oke sangat membantu sekali,5
good,5
"pesan mie gacoan harus nunggu estimasi 1jam kocakkkkk padahal restonya udh ga rame heran aku, kecewa.!",1
"sering di tolak kalo pake hemat,mnding hpus aja fitur hemat nya",3
saya merasa lebih mudah untuk melakukan hal apapun ٩😉۶ ٩😉۶,5
sejauh ini blum ada kendala nyaman nyaman aja dengan adanya aplikasi ini sangat membantu sekali ....terimakasih buat grab....,5
Ok. good aplikasi,5
ok,5
sangat membantu,5
ok,5
good aplikasi,5
"apasih gaje banget, dihilangkan fitur memilih drivernya.",1
driver emang cuman bisa marahin costumer ya untuk di minta tolong aja costumer di maki maki padahal bayar sesuai dengan aplikasi.,3
gajelas map di driver nya suka keubah ubah sendiri jadi rumit ga sesuai tujuan.,2
"tolong sediakan blacklist kurir , karna aplikasinya bagus , kurirnya saja kadang ga bagus",5
baik,5
"sangat baik,trima kasih mas grab sukses slalu aamiin",5
"Ini kenapa tiba"" Udh order,notif udh dpt driver malah ada Notif tambahan layanan. kocak POOLLLL. MAU Meras customer kah ini ??? Makin hari makin ndk jls.",1
sangat puas thanks 🙏,5
selalu yg terbaik,5
sekarang pesan apa apa ngk ada konfirmasi dulu ngeselin mau di batalin ngk bisa,1
sangat membantu,5
pelayanan oke,5
sangat membantu pas lapar gab,5
ok,5
apdet terus... cari penjual makanan terdekat malah di arahkan yang jauh. yang dekat tidak muncul. T43K,2
pelayanan memuaskan,5
cepat,5
cukup membantu,5
saya turunin karena sekarang KLO buka aplikasi loading lama bener menunya,3
ok,5
ok ok,5
Bagus,5
Gampang di gunakan,4
puas,5
baik,5
baik,5
bagus dan membantu sekali,5
"makasih kak geme ya udah di kirimin ke aku balas ya kak nama komentar aku aida ida ,",4
drivernya baik gak neko2,5
pelayanan bagus mnurut saya oke,4
sangadt baik,5
bagus,5
bagus.tlng bantu saya saya ingin keluar PGN pakek grab krna GK ada yang nganterin,5
goodjoob,5
"platform transportasi online yang menyediakan layanan perjalanan, pengiriman makanan, belanja, hingga pembayaran digital.",5
promo hilang karena keluar aplikasi aneh,1
saya tidak bisa login akibat capture muka tidak berdelay sehingga gagal 3 kali lalu tidak bisa login,3
APLIKASI PALING TOLOL!! lebih pinteran muntahan kecoak tetangga gw,1
baik,5
"cepat, aman, menyenangkan pengemudi komunikatif",5
sangat baik dan ramah drivernya,5
bagus pilihanmu yang tepat,5
cepat cara order nya,4
sangat aman dan nyaman,5
tadinya saya suka pakai jasa grab karena banyak promonya..dan sekarang gegara seliweran promo di hampir semua medsos yang foto atau orang berkumis apalagi pas promo makanan jujur sy eneg dan pengen muntah tengoknya...jijik banget itu dan saya ilfeel dengan grab sekarang,1
"ga becus nyari driver, Manja semua ga ke aplikasi sebelah",1
"Sudah menggunakan Grab⁠ cukup lama dan sangat puas. Pemesanan kendaraan mudah, pengantaran makanan cepat, dan aplikasinya stabil. Sangat direkomendasikan!",5
praktis ekonomis episien,4
mantap,5
sangat membantu mempermudah berpergian,5
"kepada pihak perusahaan grab,kalian itu jangan rakus kali buat kasih potongan ke kas kalian,.",1
"kalau kita yg batalkan, tarif terus naik, kalau driver yg batalkan gemana? lama² mau memonopoli",1
ok,5
ramah tamah pengemudi nya,5
the best,5
"yang punya pinjol terutama julo , superbank dan amar mending uninstall karena terkait perlindungan privacy dan sebar data.",1
bagus bgt coyyyyy keren apk nya,5
Reaksi drivernya ok banget,5
👍,5
Sangat rekomended dan membantu,5
mantap,5
mantep,5
tolong iklan nya jangan muncul pas lagi main,1
sangat membantu,5
"minim jastip untuk apk ini terlalu susah untuk mendapatkan jastip lama d proses 1 JM sendiri blm dapet .terus untuk jaringan susah terlalu sering memuat jaringan padahal kuota banyak ,tolong d perbaiki lg untuk apk ini !",1
mantap,5
"Very convenient for daily transportation and food delivery. The service is reliable, and the app is easy to navigate.",5
"Dana Saya Blm balik sdh Seminggu kt.a 3 hari otomatis langsung masuk lg ke kartu Visa saya tp sdh 6 hari blm masuk... chat sm CS gk ada solusi ngulang"" gitu terus",1
terima kasih atas pelayanan yang diberikan kepada saya,5
baik,4
mantapp betull diskon belanjaan nya bukan main,5
favourite app. So easy to go anywhere you want...,5
good,5
sistem pembayaran ribet dan hanya beberapa opsi wkwkw,1
bagus bgt siip lahh sukse trus untuk semua tokonya dan ms grabnya,5
saya suka,5
mantaf,5
sangat membantu,5
good,5
baik,4
ramah,5
deviasi titik jemputnya mencapai puluhan mete,5
iklan makasa tiba2 kedonwlod,1
ok,5
Baik,5
terimakasih pelayananny,5
sangat membantu dalam kehidupan sehari hari,5
menarik,5
"ga sopan, di tanya baik baik malah nyolot, mau ninggalin anak orang di titik yang ga seusai, bahaya ini!!! kalo anak gw knp knp gmn!! ini bahkan ga pantes dapet bintang 1! harusnya grab kalo ngerekrut orang itu yang bener bener punya pendidikan!!!",1
ini yg buat captha apk Nye siape ye ?? paling bodoh babi tk sekolah smpai nk login pon susah,1
drevernya samgat baik,5
ramah dan peduli,5
baik,4
cepat,5
cukup baik,4
bagus,5
bug trs ih klo di update aneh,2
mantab grab,5
apk grab skrng gk bisa pesan kendaraan dari sharelok langsung .jadi ribet,1
ok,5
bagus..... pelayanan nya.,5
diterima dengan baik,5
